영어,한글뜻,확인필요
dangerous,"위험한, exam, exam; 시험, 검사",
dangerous,"위험한, exam, exam; 시험, 검사",
trip,"여행, visit, visit, 방문하다, 방문",
trip,"여행, visit, visit, 방문하다, 방문",
camp,"야영지, 캠프, 야영하다, 캠핑하다",
camp,"야영지, 캠프, 야영하다, 캠핑하다",
basket,"바구니, note, note; 쪽지, 메모; 수업 등의 필기, 노트",
basket,"바구니, note, note; 쪽지, 메모; 수업 등의 필기, 노트",
grass,"풀, 이, 잔디, 잔디밭",
grass,"풀, 이, 잔디, 잔디밭",
pass,"지나가다, 통과하다; 합격하다",
pass,"지나가다, 통과하다; 합격하다",
until,"언제까지, 무엇 무엇 할 때까지",
until,"언제까지, 무엇 무엇 할 때까지",
pot,"냄비, 솥",
pot,"냄비, 솥",
same,"같은, 동일한",
same,"같은, 동일한",
seafood,해산물,
seafood,해산물,
plant,"식물, 나무 등을 심다",
plant,"식물, 나무 등을 심다",
each other,"서로, do one's best, do one's best, 최선을 다하다",
each other,"서로, do one's best, do one's best, 최선을 다하다",
